股票代號,資料日期,填息結果,交易天數
5906,2013-01-04,True,7
1735,2013-01-07,True,1
911619,2013-01-17,False,
911619,2013-01-18,True,1
5608,2013-02-05,False,
6283,2013-02-05,True,1
2891,2013-02-19,True,13
9157,2013-02-19,False,
01008T,2013-02-27,,
3406,2013-03-05,True,60
910708,2013-03-11,True,47
9105,2013-03-14,True,2
01004T,2013-04-09,,
01003T,2013-04-17,,
4141,2013-04-18,False,
2727,2013-04-24,True,22
910069,2013-05-02,True,4
9151,2013-05-02,True,13
911602,2013-05-03,False,
911609,2013-05-08,True,89
2430,2013-05-09,False,
01001T,2013-05-09,,
911608,2013-05-17,False,
9136,2013-05-17,True,1
6504,2013-05-20,True,1
2849,2013-05-21,False,
01002T,2013-05-22,,
2062,2013-05-22,True,20
01007T,2013-05-23,,
2727,2013-05-28,True,80
912398,2013-06-05,True,36
3060,2013-06-06,True,47
1590,2013-06-07,True,26
2820,2013-06-10,False,
1733,2013-06-13,False,
8940,2013-06-13,True,143
910322,2013-06-13,True,14
2888,2013-06-14,True,3
910579,2013-06-17,True,1
2450,2013-06-19,False,
6257,2013-06-19,True,52
8427,2013-06-19,True,18
5225,2013-06-21,True,5
2910,2013-06-24,True,60
1615,2013-06-25,True,180
2514,2013-06-25,True,6
4722,2013-06-25,False,
1773,2013-06-26,True,39
3010,2013-06-26,True,15
5871,2013-06-26,True,1
9188,2013-06-26,True,24
6128,2013-06-27,True,19
2723,2013-06-27,True,2
2545,2013-06-27,False,
2535,2013-06-27,False,
2455,2013-06-27,False,
2433,2013-06-27,True,24
8213,2013-06-27,False,
2015,2013-06-27,False,
1802,2013-06-27,True,2
1710,2013-06-27,True,14
0081,2013-06-27,,
0080,2013-06-27,,
2421,2013-06-27,True,118
2373,2013-06-28,True,8
2385,2013-06-28,False,
2548,2013-06-28,True,12
3583,2013-06-28,True,14
6136,2013-06-28,True,176
8016,2013-07-01,True,34
6224,2013-07-01,True,66
6213,2013-07-01,True,19
5234,2013-07-01,True,2
3149,2013-07-01,True,9
2362,2013-07-01,True,5
2881,2013-07-01,True,10
1735,2013-07-01,True,250
1560,2013-07-01,True,26
3029,2013-07-01,True,10
5215,2013-07-02,False,
8249,2013-07-02,True,54
8011,2013-07-02,True,10
6505,2013-07-02,True,8
6141,2013-07-02,True,1
3015,2013-07-02,True,36
1507,2013-07-02,True,3
2597,2013-07-02,True,5
2501,2013-07-02,True,8
2031,2013-07-02,True,32
2906,2013-07-02,True,212
1451,2013-07-02,True,50
1232,2013-07-02,True,24
8072,2013-07-03,True,230
2451,2013-07-03,True,183
2404,2013-07-03,True,33
2338,2013-07-03,True,157
2231,2013-07-03,True,9
2010,2013-07-03,True,126
1707,2013-07-03,True,15
2330,2013-07-03,True,8
4164,2013-07-04,True,8
9945,2013-07-04,True,5
9943,2013-07-04,True,237
9930,2013-07-04,True,29
9911,2013-07-04,True,7
8213,2013-07-04,True,9
4733,2013-07-04,True,31
4133,2013-07-04,True,7
3669,2013-07-04,True,15
3094,2013-07-04,True,22
2227,2013-07-04,True,2
2013,2013-07-04,False,
1909,2013-07-04,True,1
1220,2013-07-04,True,13
1219,2013-07-04,True,1
3673,2013-07-04,False,
2107,2013-07-05,True,29
1439,2013-07-05,True,4
1521,2013-07-05,True,40
2340,2013-07-05,True,5
3048,2013-07-05,True,47
3532,2013-07-05,True,1
6209,2013-07-05,True,6
3504,2013-07-08,False,
3045,2013-07-08,False,
8411,2013-07-08,False,
8422,2013-07-08,False,
3028,2013-07-08,False,
2308,2013-07-08,True,7
2483,2013-07-08,True,26
2436,2013-07-08,True,4
2360,2013-07-08,True,2
2303,2013-07-08,True,230
2615,2013-07-08,True,4
9924,2013-07-09,True,2
9907,2013-07-09,True,6
9802,2013-07-09,True,24
6281,2013-07-09,False,
6120,2013-07-09,True,3
3705,2013-07-09,True,5
3653,2013-07-09,True,76
3550,2013-07-09,True,11
2832,2013-07-09,True,40
2480,2013-07-09,True,59
3006,2013-07-09,True,4
2417,2013-07-09,True,12
1734,2013-07-09,True,1
1731,2013-07-09,True,5
1535,2013-07-09,True,17
1473,2013-07-09,True,3
1466,2013-07-09,True,12
1410,2013-07-09,True,12
1315,2013-07-09,True,67
1215,2013-07-09,True,157
2437,2013-07-09,True,18
3665,2013-07-10,True,3
4935,2013-07-10,True,37
